l0=0001 l1=001 l2=Arg l8=1 l9=1	Ἀρχόμενοσ σέο Φοῖβε παλαιγενέων κλέα φωτῶν μνήσομαι οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρασ Κυανέασ βασιλῆοσ ἐφημοσύνῃ Πελίαο χρύσειον μετὰ κῶασ ἐύζυγον ἤλασαν Ἀργώ.
l0=0001 l1=001 l2=Arg l8=1 l9=4	Τοίην γὰρ Πελίησ φάτιν ἔκλυεν, ὥσ μιν ὀπίσσω μοῖρα μένει στυγερή, τοῦδ’ ἀνέροσ ὅντιν’ ἴδοιτο δημόθεν οἰοπέδιλον ὑπ’ ἐννεσίῃσι δαμῆναι· δηρὸν δ’ οὐ μετέπειτα τεὴν κατὰ βάξιν Ἰήσων, χειμερίοιο ῥέεθρα κιὼν διὰ ποσσὶν Ἀναύρου, ἄλλο μὲν ἐξεσάωσεν ὑπ’ ἰλύοσ ἄλλο δ’ ἔνερθεν κάλλιπεν αὖθι πέδιλον ἐνισχόμενον προχοῇσιν· ἵκετο δ’ ἐσ Πελίην αὐτοσχεδόν, ἀντιβολήσων εἰλαπίνησ ἣν πατρὶ Ποσειδάωνι καὶ ἄλλοισ ῥέζε θεοῖσ, Ἥρησ δὲ Πελασγίδοσ οὐκ ἀλέγιζεν· αἶψα δὲ τόνγ’ ἐσιδὼν ἐφράσσατο, καί οἱ ἄεθλον ἔντυε ναυτιλίησ πολυκηδέοσ, ὄφρ’ ἐνὶ πόντῳ ἠὲ καὶ ἀλλοδαποῖσι μετ’ ἀνδράσι νόστον ὀλέσσῃ.
l0=0001 l1=001 l2=Arg l8=1 l9=17	Νῆα μὲν οὖν οἱ πρόσθεν ἔτι κλείουσιν ἀοιδοί Ἄργον Ἀθηναίησ καμέειν ὑποθημοσύνῃσι· νῦν δ’ ἂν ἐγὼ γενεήν τε καὶ οὔνομα μυθησαίμην ἡρώων, δολιχῆσ τε πόρουσ ἁλόσ, ὅσσα τ’ ἔρεξαν πλαζόμενοι· Μοῦσαι δ’ ὑποφήτορεσ εἶεν ἀοιδῆσ.
l0=0001 l1=001 l2=Arg l8=1 l9=22	Πρῶτά νυν Ὀρφῆοσ μνησώμεθα, τόν ῥά ποτ’ αὐτή Καλλιόπη Θρήικι φατίζεται εὐνηθεῖσα Οἰάγρῳ σκοπιῆσ Πιμπληίδοσ ἄγχι τεκέσθαι.
l0=0001 l1=001 l2=Arg l8=1 l9=25	αὐτὰρ τόνγ’ ἐνέπουσιν ἀτειρέασ οὔρεσι πέτρασ θέλξαι ἀοιδάων ἐνοπῇ ποταμῶν τε ῥέεθρα· φηγοὶ δ’ ἀγριάδεσ κείνησ ἔτι σήματα μολπῆσ ἀκτῇ Θρηικίῃ Ζώνησ ἔπι τηλεθόωσαι ἑξείησ στιχόωσιν ἐπήτριμοι, ἃσ ὅγ’ ἐπιπρό θελγομένασ φόρμιγγι κατήγαγε Πιερίηθεν.
l0=0001 l1=001 l2=Arg l8=1 l9=31	Ὀρφέα μὲν δὴ τοῖον ἑῶν ἐπαρωγὸν ἀέθλων Αἰσονίδησ Χείρωνοσ ἐφημοσύνῃσι πιθήσασ δέξατο, Πιερίῃ Βιστωνίδι κοιρανέοντα· ἤλυθε δ’ Ἀστερίων αὐτοσχεδόν, ὅν ῥα Κομήτησ γείνατο, δινήεντοσ ἐφ’ ὕδασιν Ἀπιδανοῖο Πειρεσιὰσ ὄρεοσ Φυλληίου ἀγχόθι ναίων, ἔνθα μὲν Ἀπιδανόσ τε μέγασ καὶ δῖοσ Ἐνιπεύσ ἄμφω συμφορέονται, ἀπόπροθεν εἰσ ἓν ἰόντεσ.
l0=0001 l1=001 l2=Arg l8=1 l9=39	Λάρισαν δ’ ἐπὶ τοῖσι λιπὼν Πολύφημοσ ἵκανεν Εἰλατίδησ, ὃσ πρὶν μὲν ἐρισθενέων Λαπιθάων, ὁππότε Κενταύροισ Λαπίθαι ἐπὶ θωρήσσοντο, ὁπλότεροσ προμάχιζε· τότ’ αὖ βαρύθεσκέ οἱ ἤδη γυῖα, μένεν δ’ ἔτι θυμὸσ ἀρήιοσ ὡσ τὸ πάροσ περ· οὐδὲ μὲν Ἴφικλοσ Φυλάκῃ ἔνι δηρὸν ἔλειπτο, μήτρωσ Αἰσονίδαο, κασιγνήτην γὰρ ὄπυιεν Αἴσων Ἀλκιμέδην Φυλακηίδα· τῆσ μιν ἀνώγει πηοσύνη καὶ κῆδοσ ἐνικρινθῆναι ὁμίλῳ· οὐδὲ Φεραῖσ Ἄδμητοσ ἐυρρήνεσσιν ἀνάσσων μίμνεν ὑπὸ σκοπιὴν ὄρεοσ Χαλκωδονίοιο· οὐδ’ Ἀλόπῃ μίμνον πολυλήιοι Ἑρμείαο υἱέεσ εὖ δεδαῶτε δόλουσ, Ἔρυτοσ καὶ Ἐχίων· τοῖσι δ’ ἐπὶ τρίτατοσ γνωτὸσ κίε νισσομένοισιν Αἰθαλίδησ· καὶ τὸν μὲν ἐπ’ Ἀμφρυσσοῖο ῥοῇσιν Μυρμιδόνοσ κούρη Φθιὰσ τέκεν Εὐπολέμεια, τὼ δ’ αὖτ’ ἐκγεγάτην Μενετηίδοσ Ἀντιανείρησ.
l0=0001 l1=001 l2=Arg l8=1 l9=56	Ἤλυθε δ’ ἀφνειὴν προλιπὼν Γυρτῶνα Κόρωνοσ Καινεί̈δησ, ἐσθλὸσ μέν, ἑοῦ δ’ οὐ πατρὸσ ἀμείνων.
l0=0001 l1=001 l2=Arg l8=1 l9=58	Καινέα γὰρ ζωόν †περ ἔτι κλείουσιν ἀοιδοί† Κενταύροισιν ὀλέσθαι, ὅτε σφέασ οἶοσ ἀπ’ ἄλλων ἤλασ’ ἀριστεύων, οἱ δ’ ἔμπαλιν ὁρμηθέντεσ οὔτε μιν ἀγκλῖναι προτέρω σθένον οὔτε δαί̈ξαι, ἀλλ’ ἄρρηκτοσ ἄκαμπτοσ ἐδύσετο νειόθι γαίησ, θεινόμενοσ στιβαρῇσι καταί̈γδην ἐλάτῃσιν.
l0=0001 l1=001 l2=Arg l8=1 l9=64	Ἤλυθε δ’ αὖ Μόψοσ Τιταρήσιοσ, ὃν περὶ πάντων Λητοί̈δησ ἐδίδαξε θεοπροπίασ οἰωνῶν· βῆ δὲ καὶ Εὐρυδάμασ Κτιμένου πάισ, ἄγχι δὲ λίμνησ Ξυνιάδοσ Κτιμένην Δολοπηίδα ναιετάασκεν· καὶ μὴν Ἄκτωρ υἷα Μενοίτιον ἐξ Ὀπόεντοσ ὦρσεν, ἀριστήεσσι σὺν ἀνδράσιν ὄφρα νέοιτο.
