l0=0001 l1=002 l2=Fr l8=1 l9=1	Κορινθιουργέσ ἐστι κιόνων σχῆμα
l0=0001 l1=002 l2=Fr l8=2 l9=1	Τέρψει δὲ νηῶν ὁ γλυκύσ σε χωρίτῃσ πλόοσ κομίζων δῶρα πλουσίου Νείλου.
l0=0001 l1=002 l2=Fr l8=5 l9=1	Οὐδ’ ἵπποι ὀρθρινὰ κατὰ κλισίασ χρεμέθεσκον, ἀλλὰ βόεσ πλείῃσι παρηυνάζοντο κάπῃσι, νηυσὶ δὲ πρηκτὰ κέλευθα Χελιδονίησ ἀπὸ πέτρησ Πληγάδασ ἀξείνουσ καὶ ὅπου Φινήϊα δόρπα Ἅρπυιαι ἄτλητον ἐπὶ ψώαν πνείεσκον.
l0=0001 l1=002 l2=Fr l8=7 l9=1	Τῷ ῥά ποτ’ Ὠκυρόην νύμφην, περικαλλέα κούρην, Χησιὰσ εὐπατέρεια τέκεν φιλότητι μιγεῖσα, Ὠκυρόην, ᾗ κάλλοσ ἀπείριτον ὤπασαν Ὧραι.
l0=0001 l1=002 l2=Fr l8=8 l9=1	Πατρὸσ ἐμεῖο φίλου συμφράδμονα θυμὸν ἀέξων, Πομπίλε, δυσκελάδου δεδαὼσ θοὰ βένθεα πόντου, σῷζέ με.
l0=0001 l1=002 l2=Fr l8=9 l9=1	Πομπίλον ὠκυάλων νηῶν παιήονα δούρων
l0=0001 l1=002 l2=Fr l8=10 l9=1	Ὅσσα τε γαίησ †ἔργα τε Δωτιάδοσ πρότεροι κάμον Αἱμονιῆεσ
l0=0001 l1=002 l2=Fr l8=12 l9=1	Ἔνθα δὲ Πηλεί̈δησ κατὰ μὲν κτάνε Λάμπετον Ἴρου, κὰδ δ’ Ἱκετάονα πέφνεν ἰθαιγενέοσ Λεπετύμνου υἱέα Μηθύμνησ τε, καὶ ἀλκηέστατον ἄλλων αὐτοκασίγνητον Ἑλικάονοσ ἔνδοθι πάτρησ †τηλίκον Ὑψίπυλον· θαλερὴ δέ μιν ἄασε Κύπρισ.
l0=0001 l1=002 l2=Fr l8=12 l9=5	Ἡ γὰρ ἐπ’ Αἰακίδῃ κούρησ φρένασ ἐπτοίησεν Πεισιδίκησ, ὅτε τόν γε μετὰ προμάχοισιν Ἀχαιῶν χάρμῃ ἀγαλλόμενον θηέσκετο, πολλὰ δ’ ἐσ ὑγρὴν ἠέρα χεῖρασ ἔτεινεν ἐελδομένη φιλότητοσ.
l0=0001 l1=002 l2=Fr l8=12 l9=9	Δέκτο μὲν αὐτίκα λαὸν Ἀχαιϊκὸν ἔνδοθι πάτρησ παρθενική, κληῖδασ ὑποχλίσσασα πυλάων, ἔτλη δ’ οἷσιν ἰδέσθαι ἐν ὀφθαλμοῖσι τοκῆασ χαλκῷ ἐληλαμένουσ, καὶ δούλια δεσμὰ γυναικῶν ἑλκομένων ἐπὶ νῆασ ὑποσχεσίῃσ Ἀχιλῆοσ, ὄφρα νυὸσ γλαυκῆσ Θέτιδοσ πέλοι, ὄφρα οἱ εἶεν πενθεροὶ Αἰακίδαι, Φθίῃ δ’ ἔνι δώματα ναίοι ἀνδρὸσ ἀριστῆοσ πινυτὴ δάμαρ (οὐδ’ ὅ γ’ ἔμελλεν τὰ ῥέξειν), ὀλοῷ δ’ ἐπαγάσσατο πατρίδοσ οἴτῳ· ἔνθ’ ἥ γ’ αἰνότατον γάμον εἴσιδε Πηλείδαο Ἀργείων ὑπὸ χερσὶ δυσάμμοροσ, οἵ μιν ἔπεφνον πανσυδίῃ θαμινῇσιν ἀράσσοντεσ λιθάδεσσιν.
l0=0001 l1=002 l2=Fr l8=13 l9=1	Καλλίμαχοσ τὸ κάθαρμα, τὸ παίγνιον, ὁ ξύλινοσ νοῦσ· αἴτιοσ ὁ γράψασ Αἴτια Καλλίμαχοσ.
